timestamp,user_id,item_id,subdomain,action_type,os
1098 days 02:16:50.529459,74169333,nfmcg_4085927,u2i,view,android
1098 days 02:17:39.578930,3207065,nfmcg_7250772,u2i,view,android
1098 days 02:19:16.445351,19597826,nfmcg_20381554,u2i,view,android
1098 days 02:19:30.988410,59807873,nfmcg_10046742,u2i,view,android
1098 days 02:21:16.456017,69885243,nfmcg_2879160,other,view,android
1098 days 02:22:53.256286,44354150,nfmcg_19906056,u2i,click,android
1098 days 02:24:07.593178,37924756,nfmcg_23893806,other,view,android
1098 days 02:25:33.619724,3207065,nfmcg_27873997,u2i,view,android
1098 days 02:27:09.685039,4186816,nfmcg_24564699,u2i,view,android
1098 days 02:27:36.383462,50235997,nfmcg_10472957,u2i,view,android
1098 days 02:28:21.457555,77236477,nfmcg_27581059,u2i,view,android
1098 days 02:28:32.376017,29391887,nfmcg_20114920,u2i,view,android
1098 days 02:31:09.900584,27806484,nfmcg_16669558,u2i,view,android
1098 days 02:31:26.227330,3207065,nfmcg_26025175,search,view,android
1098 days 02:34:41.208369,84527155,nfmcg_4436221,u2i,view,android
1098 days 02:35:07.666297,8803898,nfmcg_14039825,u2i,view,android
1098 days 02:36:31.539460,38072167,nfmcg_2879160,u2i,view,ios
1098 days 02:38:12.853887,64478175,nfmcg_3665310,u2i,view,android
1098 days 02:39:43.717747,3207065,nfmcg_19654445,search,view,android
1098 days 02:39:59.623157,44052577,nfmcg_7727120,other,view,android
1098 days 02:40:03.199011,3207065,nfmcg_22098018,search,view,android
1098 days 02:41:23.101797,43432437,nfmcg_7442977,other,view,android
1098 days 02:43:17.293666,77236477,nfmcg_21514286,u2i,view,android
1098 days 02:44:21.525073,62878922,nfmcg_12284330,other,view,android
1098 days 02:46:08.730423,50235997,nfmcg_2681623,u2i,view,android
1098 days 02:46:25.207664,6608257,nfmcg_11127127,u2i,view,ios
1098 days 02:47:12.288299,3207065,nfmcg_217809,u2i,view,android
1098 days 02:48:14.062254,3207065,nfmcg_25620577,search,view,android
1098 days 02:48:14.213911,6827311,nfmcg_14297356,u2i,view,android
1098 days 02:48:22.259577,43432437,nfmcg_15097877,u2i,view,android
1098 days 02:48:55.010663,44354150,nfmcg_14522263,u2i,view,android
1098 days 02:51:26.537843,76022406,nfmcg_11807359,u2i,view,android
1098 days 02:54:15.325007,3207065,nfmcg_28436912,search,view,android
1098 days 02:55:31.759418,11281781,nfmcg_2879160,u2i,view,ios
1098 days 02:57:41.766297,41034695,nfmcg_12406233,u2i,view,android
1098 days 02:59:13.389088,39306103,nfmcg_3631101,u2i,view,android
1098 days 02:59:48.102549,74429669,nfmcg_14074689,u2i,view,android
1098 days 03:00:04.435824,11496423,nfmcg_28036449,u2i,view,android
1098 days 03:00:33.933826,3207065,nfmcg_12131320,search,view,android
1098 days 03:01:36.232076,3207065,nfmcg_4314567,u2i,view,android
1098 days 03:02:45.959176,13213304,nfmcg_8577680,u2i,view,android
1098 days 03:03:35.438238,20597109,nfmcg_17780904,u2i,view,android
1098 days 03:04:33.733245,41034695,nfmcg_254657,u2i,view,android
1098 days 03:05:01.645605,1281539,nfmcg_11784384,other,view,android
1098 days 03:07:35.208376,52326907,nfmcg_26806627,u2i,view,android
1098 days 03:08:45.294290,38353164,nfmcg_7727120,u2i,view,android
1098 days 03:09:17.267962,3207065,nfmcg_1404579,u2i,view,android
1098 days 03:10:02.679995,69939832,nfmcg_867469,u2i,view,android
1098 days 03:13:36.061571,3207065,nfmcg_16138396,search,view,android
1098 days 03:14:15.732928,3207065,nfmcg_19240373,search,view,android
1098 days 03:14:46.146918,3207065,nfmcg_18752167,u2i,view,android
1098 days 03:15:09.819748,3207065,nfmcg_10360464,search,view,android
1098 days 03:15:37.311788,13554331,nfmcg_7816204,u2i,view,android
1098 days 03:16:16.197680,3207065,nfmcg_13407368,search,view,android
1098 days 03:16:33.513754,50235997,nfmcg_19742246,u2i,view,android
1098 days 03:17:27.967351,69939832,nfmcg_4436221,u2i,view,android
1098 days 03:17:32.421656,59807873,nfmcg_15927396,other,view,android
1098 days 03:18:24.712442,29391887,nfmcg_28078922,u2i,view,android
1098 days 03:18:31.585994,27806484,nfmcg_16669558,u2i,view,android
1098 days 03:19:36.927690,38072167,nfmcg_5554541,u2i,view,ios
1098 days 03:21:21.660724,42278615,nfmcg_7313303,other,view,android
1098 days 03:21:36.626263,1085308,nfmcg_15022704,other,view,ios
1098 days 03:25:48.526228,41034695,nfmcg_11474207,u2i,view,android
1098 days 03:26:03.570346,6012807,nfmcg_27581059,u2i,view,ios
1098 days 03:26:59.732880,29391887,nfmcg_16684390,u2i,view,android
1098 days 03:27:55.030856,65686595,nfmcg_10472957,u2i,view,ios
1098 days 03:28:35.195880,43432437,nfmcg_16484774,u2i,view,android
1098 days 03:31:52.623555,3207065,nfmcg_8481368,search,view,android
1098 days 03:33:22.301654,84527155,nfmcg_4703456,u2i,view,android
1098 days 03:35:24.643477,2376485,nfmcg_1995428,u2i,view,android
1098 days 03:37:36.285005,26592247,nfmcg_13757063,u2i,click,android
1098 days 03:37:58.933613,68643250,nfmcg_22461105,u2i,view,android
1098 days 03:39:29.705169,52326907,nfmcg_11018527,u2i,view,android
1098 days 03:39:49.827138,87554499,nfmcg_10472957,other,view,android
1098 days 03:47:07.742258,52326907,nfmcg_26806627,u2i,view,android
1098 days 03:47:17.687160,54326542,nfmcg_26806627,u2i,view,android
1098 days 03:48:49.745158,38072167,nfmcg_21678523,u2i,view,ios
1098 days 03:50:54.449710,52326907,nfmcg_2681623,u2i,view,android
1098 days 03:51:28.778833,74429669,nfmcg_10707222,u2i,click,android
1098 days 03:54:01.822727,3207065,nfmcg_21703202,search,view,android
1098 days 03:55:35.496968,29391887,nfmcg_9907774,u2i,view,android
1098 days 03:56:02.949821,59646916,nfmcg_24492920,u2i,view,android
1098 days 03:56:33.035171,52333688,nfmcg_867469,u2i,view,android
1098 days 03:57:52.838636,6012807,nfmcg_4085927,u2i,view,ios
1098 days 03:58:56.627889,50235997,nfmcg_5968503,u2i,view,android
1098 days 03:58:59.787085,50235997,nfmcg_19742246,u2i,view,android
1098 days 03:59:29.751221,38072167,nfmcg_7362830,u2i,view,ios
1098 days 03:59:48.036835,11570248,nfmcg_4703456,catalog,click,android
1098 days 04:01:20.164848,3207065,nfmcg_14328843,u2i,view,android
1098 days 04:01:53.513870,50235997,nfmcg_5968503,u2i,view,android
1098 days 04:02:33.124990,77953027,nfmcg_11875472,u2i,view,android
1098 days 04:02:53.249153,38072167,nfmcg_27873997,u2i,view,ios
1098 days 04:04:00.243012,14528741,nfmcg_27281646,u2i,view,android
1098 days 04:04:51.066014,52326907,nfmcg_19742246,u2i,view,android
1098 days 04:05:40.280765,39306103,nfmcg_15410130,u2i,view,android
1098 days 04:06:46.922250,74429669,nfmcg_22992567,u2i,view,android
1098 days 04:08:01.820915,59807873,nfmcg_15893105,u2i,view,android
1098 days 04:08:13.867536,43432437,nfmcg_18364403,u2i,view,android
1098 days 04:08:45.801005,43432437,nfmcg_12516043,u2i,view,android
1098 days 04:09:07.077436,45328424,nfmcg_6315289,u2i,view,android
1098 days 04:11:17.059861,50235997,nfmcg_11018527,u2i,view,android
1098 days 04:11:17.463971,3207065,nfmcg_21138375,search,view,android
1098 days 04:14:00.851044,3207065,nfmcg_14921513,other,view,android
1098 days 04:15:26.634016,44354150,nfmcg_10046742,u2i,view,android
1098 days 04:15:44.911494,41133300,nfmcg_17884195,u2i,view,android
1098 days 04:16:01.722986,59807873,nfmcg_25823124,u2i,view,android
1098 days 04:16:07.428983,29391887,nfmcg_11112738,u2i,click,android
1098 days 04:16:13.170045,14528741,nfmcg_10196773,catalog,view,android
1098 days 04:17:07.321573,35820640,nfmcg_12516043,other,view,android
1098 days 04:18:11.454464,38072167,nfmcg_11948699,u2i,view,ios
1098 days 04:21:56.187744,76022406,nfmcg_13757063,u2i,view,android
1098 days 04:22:25.069269,52326907,nfmcg_11018527,u2i,view,android
1098 days 04:22:48.802593,52326907,nfmcg_26806627,u2i,view,android
1098 days 04:23:33.491408,1085308,nfmcg_19358507,other,view,ios
1098 days 04:23:39.497247,26839580,nfmcg_21786924,other,view,android
1098 days 04:23:41.146515,13917026,nfmcg_14297356,other,view,android
1098 days 04:24:29.907682,75148099,nfmcg_27219064,u2i,view,ios
1098 days 04:26:38.463498,77236477,nfmcg_25446985,u2i,view,android
1098 days 04:27:13.381502,19597826,nfmcg_7442977,u2i,view,android
1098 days 04:28:03.841067,29391887,nfmcg_11581023,u2i,view,android
1098 days 04:31:35.226861,31208240,nfmcg_20114920,u2i,view,ios
1098 days 04:32:20.956678,3207065,nfmcg_28057908,search,view,android
1098 days 04:35:23.846159,8803898,nfmcg_25823124,u2i,view,android
1098 days 04:36:08.093579,31208240,nfmcg_28078922,u2i,view,ios
1098 days 04:37:07.999851,64478175,nfmcg_3631334,u2i,view,android
1098 days 04:37:24.377556,13213304,nfmcg_2681623,u2i,view,android
1098 days 04:39:01.639382,17599506,nfmcg_3913573,u2i,view,android
1098 days 04:39:04.895131,14528741,nfmcg_20675903,u2i,view,android
1098 days 04:41:35.771603,59807873,nfmcg_11856679,u2i,view,android
1098 days 04:41:53.070247,46265088,nfmcg_3898374,other,view,android
1098 days 04:42:03.825749,31208240,nfmcg_3421073,u2i,view,ios
1098 days 04:42:04.300215,19597826,nfmcg_20992285,u2i,view,android
1098 days 04:42:18.353591,44354150,nfmcg_21363739,u2i,view,android
1098 days 04:42:32.051663,44354150,nfmcg_9498902,u2i,view,android
1098 days 04:43:03.636263,38353164,nfmcg_26806627,u2i,view,android
1098 days 04:43:08.294335,59807873,nfmcg_10046742,other,view,android
1098 days 04:43:59.511098,6857436,nfmcg_21363739,u2i,view,android
1098 days 04:45:01.564669,3207065,nfmcg_22348264,search,view,android
1098 days 04:45:05.369677,44354150,nfmcg_11856679,u2i,view,android
1098 days 04:45:21.964490,67767492,nfmcg_7854923,other,view,android
1098 days 04:46:14.614675,75148099,nfmcg_11018527,u2i,view,android
1098 days 04:46:42.204637,14812641,nfmcg_22764748,u2i,view,android
1098 days 04:46:47.453645,38072167,nfmcg_21786924,u2i,view,ios
1098 days 04:49:37.305200,38072167,nfmcg_28270569,u2i,view,ios
1098 days 04:50:19.572741,75148099,nfmcg_17419311,u2i,click,android
1098 days 04:52:23.178734,59807873,nfmcg_6334516,u2i,view,android
1098 days 04:52:50.212788,3207065,nfmcg_25385783,search,view,android
1098 days 04:53:26.625648,3207065,nfmcg_2859367,search,view,android
1098 days 04:53:27.722559,31208240,nfmcg_3421073,u2i,view,ios
1098 days 04:53:37.739851,20597109,nfmcg_22764748,u2i,view,android
1098 days 04:54:08.837496,6857436,nfmcg_10417851,u2i,view,android
1098 days 04:59:28.784383,42278615,nfmcg_15241635,u2i,view,android
1098 days 05:02:04.537312,44354150,nfmcg_14893278,u2i,view,android
1098 days 05:02:20.486182,29254326,nfmcg_25237144,u2i,view,android
1098 days 05:02:30.341631,50235997,nfmcg_5968503,u2i,view,android
1098 days 05:03:07.508001,45328424,nfmcg_19742246,u2i,view,android
1098 days 05:05:00.540752,38353164,nfmcg_13757063,u2i,view,android
1098 days 05:05:09.416372,3207065,nfmcg_16463669,search,view,android
1098 days 05:05:16.290828,34893890,nfmcg_19030396,other,view,android
1098 days 05:05:28.758802,37924756,nfmcg_12538738,other,view,android
1098 days 05:07:02.447919,59646916,nfmcg_12351545,u2i,view,android
1098 days 05:07:18.043492,17599506,nfmcg_21179186,other,view,android
1098 days 05:07:25.699453,45335831,nfmcg_5968503,u2i,view,ios
1098 days 05:08:02.949471,50235997,nfmcg_10472957,u2i,view,android
1098 days 05:09:12.637618,31208240,nfmcg_4085927,u2i,view,ios
1098 days 05:10:29.635683,43432437,nfmcg_4737005,u2i,view,android
1098 days 05:10:31.950302,31208240,nfmcg_15508131,u2i,view,ios
1098 days 05:10:43.977376,44354150,nfmcg_9908021,u2i,view,android
1098 days 05:11:18.237908,43432437,nfmcg_11948699,u2i,view,android
1098 days 05:11:33.699133,69939832,nfmcg_14893278,u2i,view,android
1098 days 05:11:39.268598,23138974,nfmcg_11127127,u2i,view,ios
1098 days 05:11:50.160618,3207065,nfmcg_26224393,u2i,view,android
1098 days 05:12:04.000090,13213304,nfmcg_10472957,u2i,view,android
1098 days 05:12:31.087877,44813615,nfmcg_14893278,other,view,android
1098 days 05:13:10.062368,14528741,nfmcg_13767212,u2i,view,android
1098 days 05:14:03.655044,3207065,nfmcg_26053389,search,view,android
1098 days 05:14:05.832907,74429669,nfmcg_22992567,other,view,android
1098 days 05:16:31.477965,38353164,nfmcg_7727120,u2i,view,android
1098 days 05:17:32.682559,13554331,nfmcg_13723637,u2i,view,android
1098 days 05:19:27.195851,43356923,nfmcg_12538738,u2i,click,android
1098 days 05:20:27.719559,397333,nfmcg_2879160,u2i,view,android
1098 days 05:23:01.942259,6857436,nfmcg_7854923,u2i,view,android
1098 days 05:24:02.919249,4186816,nfmcg_19030396,u2i,view,android
1098 days 05:24:19.310705,3207065,nfmcg_6777867,u2i,view,android
1098 days 05:24:59.367927,50235997,nfmcg_11018527,u2i,view,android
1098 days 05:27:02.850371,3207065,nfmcg_5245666,search,view,android
1098 days 05:27:10.889222,20597109,nfmcg_12538738,u2i,view,android
1098 days 05:27:28.028073,3207065,nfmcg_23216105,search,view,android
1098 days 05:28:03.497339,45328424,nfmcg_26806627,u2i,view,android
1098 days 05:29:46.845791,59807873,nfmcg_27986943,u2i,view,android
1098 days 05:30:53.958991,13554331,nfmcg_2992071,u2i,view,android
1098 days 05:31:27.043878,3207065,nfmcg_3513347,u2i,view,android
1098 days 05:31:56.281948,1085308,nfmcg_11116446,other,view,ios
1098 days 05:32:38.154892,38072167,nfmcg_11474207,u2i,view,ios
1098 days 05:32:49.150290,59807873,nfmcg_9498902,u2i,view,android
1098 days 05:36:02.317899,38353164,nfmcg_14649335,u2i,view,android
1098 days 05:37:45.226878,52326907,nfmcg_8577680,u2i,view,android
1098 days 05:37:53.648152,45328424,nfmcg_27113139,u2i,view,android
1098 days 05:38:15.838040,14528741,nfmcg_26806627,u2i,view,android
1098 days 05:38:21.858430,38072167,nfmcg_20114920,u2i,view,ios
1098 days 05:39:19.208320,29391887,nfmcg_16122000,other,view,android
1098 days 05:40:02.041964,4186816,nfmcg_28451636,u2i,view,android
1098 days 05:42:29.103852,27806484,nfmcg_7415146,u2i,view,android
1098 days 05:42:32.460094,31208240,nfmcg_15241635,u2i,view,ios
1098 days 05:42:56.243431,3207065,nfmcg_18709879,u2i,view,android
1098 days 05:44:40.160136,84527155,nfmcg_4085927,u2i,view,android
1098 days 05:45:29.845039,14812641,nfmcg_13516083,u2i,view,android
1098 days 05:47:24.349276,75148099,nfmcg_11018527,u2i,click,android
1098 days 05:49:10.736227,29391887,nfmcg_16883345,other,view,android
1098 days 05:52:31.375187,38353164,nfmcg_26806627,u2i,view,android
1098 days 05:53:00.064086,50734691,nfmcg_4311248,u2i,view,android
1098 days 05:54:11.613659,11570248,nfmcg_2992071,i2i,click,android
1098 days 05:55:21.796694,89405671,nfmcg_1724547,other,view,android
1098 days 05:55:46.615412,52326907,nfmcg_10472957,u2i,view,android
1098 days 05:56:17.786439,38353164,nfmcg_13757063,u2i,view,android
1098 days 05:57:36.290175,52326907,nfmcg_23857142,u2i,click,android
1098 days 05:58:32.509477,59807873,nfmcg_15022704,other,view,android
1098 days 05:59:06.240477,24632313,nfmcg_17801925,u2i,view,android
1098 days 06:02:51.573580,14528741,nfmcg_18347964,u2i,view,android
1098 days 06:03:01.278537,49681645,nfmcg_15241635,other,view,android
1098 days 06:03:30.160486,29254326,nfmcg_9424302,u2i,view,android
1098 days 06:05:15.756767,59807873,nfmcg_21179186,other,view,android
1098 days 06:06:11.819484,3207065,nfmcg_21555352,search,view,android
1098 days 06:06:14.652112,44354150,nfmcg_3625288,u2i,view,android
1098 days 06:06:26.274476,29391887,nfmcg_19806311,u2i,view,android
1098 days 06:08:15.473103,59646916,nfmcg_25454249,other,view,android
1098 days 06:11:23.493656,3207065,nfmcg_23158016,search,view,android
1098 days 06:11:37.850202,47639006,nfmcg_20575214,other,view,android
1098 days 06:12:28.974652,84440491,nfmcg_12661298,u2i,view,android
1098 days 06:12:45.680494,3207065,nfmcg_5260230,search,view,android
1098 days 06:16:56.166562,66404811,nfmcg_22860181,u2i,view,android
1098 days 06:17:45.558878,59807873,nfmcg_14802843,u2i,view,android
1098 days 06:18:01.126208,56389430,nfmcg_11931229,other,view,android
1098 days 06:22:25.255323,3207065,nfmcg_11383240,search,view,android
1098 days 06:22:41.647593,45328424,nfmcg_10472957,u2i,view,android
1098 days 06:22:44.065254,6012807,nfmcg_1263011,u2i,view,ios
1098 days 06:24:32.889776,76511864,nfmcg_22764748,other,view,android
1098 days 06:24:47.729348,3207065,nfmcg_27973885,u2i,view,android
1098 days 06:27:06.650679,27806484,nfmcg_9688964,u2i,view,android
1098 days 06:27:23.142877,2376485,nfmcg_2879160,u2i,view,android
1098 days 06:28:35.002886,62878922,nfmcg_20992285,other,view,android
1098 days 06:29:11.946915,13554331,nfmcg_12516043,u2i,view,android
1098 days 06:29:28.185015,397333,nfmcg_15410130,u2i,view,android
1098 days 06:31:17.055659,72532746,nfmcg_14893278,u2i,view,android
1098 days 06:33:32.367125,77236477,nfmcg_10418658,u2i,view,android
1098 days 06:33:50.894057,76511864,nfmcg_11199214,other,view,ios
1098 days 06:34:50.073441,3207065,nfmcg_27108276,u2i,view,android
1098 days 06:35:18.936251,84440491,nfmcg_28078922,u2i,view,android
1098 days 06:35:26.204983,45335831,nfmcg_22146622,u2i,view,ios
1098 days 06:35:39.498158,70487119,nfmcg_7861852,u2i,view,android
1098 days 06:35:47.163409,81193178,nfmcg_6443648,u2i,view,android
1098 days 06:37:59.396196,77236477,nfmcg_28190260,u2i,view,android
1098 days 06:38:21.487433,45328424,nfmcg_19742246,u2i,view,android
1098 days 06:38:30.908623,3207065,nfmcg_16598441,u2i,view,android
1098 days 06:39:23.123476,74429669,nfmcg_28078922,u2i,click,android
1098 days 06:40:08.508091,397333,nfmcg_19197979,u2i,view,android
1098 days 06:40:53.613738,50235997,nfmcg_26806627,u2i,view,android
1098 days 06:41:49.451942,56389430,nfmcg_11931229,other,view,android
1098 days 06:44:27.911839,13554331,nfmcg_24492920,u2i,view,android
1098 days 06:44:53.775450,29391887,nfmcg_22011830,u2i,view,android
1098 days 06:45:30.798302,74429669,nfmcg_14074689,u2i,view,android
1098 days 06:45:49.943054,35175543,nfmcg_25454249,u2i,view,android
1098 days 06:46:49.322673,42278615,nfmcg_27581059,u2i,view,android
1098 days 06:47:30.655424,3207065,nfmcg_6831014,search,view,android
1098 days 06:48:24.295584,57486402,nfmcg_14193797,u2i,view,ios
1098 days 06:49:53.001524,3207065,nfmcg_7171908,u2i,view,android
1098 days 06:50:24.758220,50277145,nfmcg_11127127,u2i,view,ios
1098 days 06:50:31.521790,29391887,nfmcg_21078980,other,view,android
1098 days 06:51:13.859568,81767833,nfmcg_4857549,other,view,android
1098 days 06:55:11.289898,52326907,nfmcg_5968503,u2i,view,android
1098 days 06:55:43.510217,54840528,nfmcg_8098893,other,view,android
1098 days 06:59:02.897123,76022406,nfmcg_17687750,u2i,view,android
1098 days 06:59:33.856527,6857436,nfmcg_2879160,other,view,android
1098 days 07:00:04.028691,75148099,nfmcg_10472957,u2i,view,android
1098 days 07:00:33.502384,8803898,nfmcg_21179186,u2i,view,android
1098 days 07:01:06.116350,11496423,nfmcg_15765285,u2i,view,android
1098 days 07:01:43.836358,74169333,nfmcg_16984600,u2i,view,android
1098 days 07:02:41.062087,45328424,nfmcg_24299152,u2i,view,ios
1098 days 07:03:44.869362,27806484,nfmcg_12756065,u2i,view,android
1098 days 07:06:11.810495,74429669,nfmcg_10707222,u2i,view,android
1098 days 07:06:15.846638,74169333,nfmcg_4085927,u2i,view,android
1098 days 07:08:56.564799,3207065,nfmcg_5551832,search,view,android
1098 days 07:09:47.186474,45328424,nfmcg_27113139,u2i,view,android
1098 days 07:10:24.267842,59646916,nfmcg_24292729,u2i,view,android
1098 days 07:11:00.626943,52333688,nfmcg_5752785,u2i,view,android
1098 days 07:11:06.016506,2714093,nfmcg_10765817,u2i,view,android
1098 days 07:12:38.978123,84527155,nfmcg_28078922,u2i,view,android
1098 days 07:16:52.906131,3207065,nfmcg_25692230,u2i,view,android
1098 days 07:17:18.382013,37924756,nfmcg_8245669,other,view,android
1098 days 07:18:23.396737,3207065,nfmcg_22754747,u2i,view,android
1098 days 07:23:29.298900,9886332,nfmcg_21179186,u2i,view,android
1098 days 07:24:24.517825,45328424,nfmcg_26806627,u2i,view,android
1098 days 07:27:27.697479,59807873,nfmcg_7410673,u2i,view,android
1098 days 07:27:46.587466,59646916,nfmcg_25454249,u2i,view,android
1098 days 07:27:46.734171,74429669,nfmcg_10707222,u2i,view,android
1098 days 07:28:47.939133,59807873,nfmcg_1167561,u2i,view,android
1098 days 07:28:51.217399,11402786,nfmcg_11856679,u2i,view,android
1098 days 07:29:36.093912,59807873,nfmcg_7816204,u2i,view,android
1098 days 07:29:53.375694,81193178,nfmcg_14326289,u2i,view,android
1098 days 07:30:52.313859,6012807,nfmcg_25454249,u2i,view,ios
1098 days 07:32:45.433667,3207065,nfmcg_6093922,search,view,android
1098 days 07:32:51.041086,10566654,nfmcg_28169368,other,view,android
1098 days 07:32:57.938987,3207065,nfmcg_26648862,other,view,android
